,commit_hash,file_path,filename,action,change,line
0,c070d927c959a7fcc9b156df2c0f8561901d9a82,sofa-boot-project/sofa-boot-core/runtime-sofa-boot/src/test/java/com/alipay/sofa/runtime/test/AnnotationSofaServiceTypeCheckFailTest.java,AnnotationSofaServiceTypeCheckFailTest.java,1,        @Bean,86
1,c070d927c959a7fcc9b156df2c0f8561901d9a82,sofa-boot-project/sofa-boot-core/runtime-sofa-boot/src/test/java/com/alipay/sofa/runtime/test/configuration/RuntimeConfiguration.java,RuntimeConfiguration.java,5,    @Bean,55
2,b6d5ab8f2a380057d2297c92e6f6f5156556a8cd,sofa-boot-project/sofa-boot-core/runtime-sofa-boot/src/main/java/com/alipay/sofa/runtime/spring/ServiceBeanFactoryPostProcessor.java,ServiceBeanFactoryPostProcessor.java,5,"                        ""multi @Bean-method with same name try to publish SofaService in """,186
3,b6d5ab8f2a380057d2297c92e6f6f5156556a8cd,sofa-boot-project/sofa-boot-core/runtime-sofa-boot/src/main/java/com/alipay/sofa/runtime/spring/ServiceBeanFactoryPostProcessor.java,ServiceBeanFactoryPostProcessor.java,5,"                            ""multi @Bean-method with same name try to reference SofaService in""",193
4,b6d5ab8f2a380057d2297c92e6f6f5156556a8cd,sofa-boot-project/sofa-boot/src/main/resources/sofa-boot/log-codes.properties,log-codes.properties,1,01-02002=Multi @Bean-method with same name try to publish SofaService in [%s],33
5,b6d5ab8f2a380057d2297c92e6f6f5156556a8cd,sofa-boot-project/sofa-boot/src/main/resources/sofa-boot/log-codes.properties,log-codes.properties,1,01-02003=Multi @Bean-method with same name try to reference SofaService in [%s],34
6,18fe8c4cbe5d9610842d16fdb6a871d8740abd82,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/rpc/SofaRpcAutoConfiguration.java,SofaRpcAutoConfiguration.java,5,    @Bean,274
7,18fe8c4cbe5d9610842d16fdb6a871d8740abd82,sofa-boot-project/sofa-boot-core/rpc-sofa-boot/src/test/java/com/alipay/sofa/rpc/boot/test/SofaRpcTestAutoConfiguration.java,SofaRpcTestAutoConfiguration.java,5,    @Bean,206
8,070824182ba891ead4f9cd2cc2bc3a9e6bb2f095,sofa-boot-project/sofa-boot-core/rpc-sofa-boot/src/test/java/com/alipay/sofa/rpc/boot/test/bean/annotation/AnnotationServiceTimeoutImpl.java,AnnotationServiceTimeoutImpl.java,1,@Component,27
9,11aafd9871693f1d70be17c02cccddfdd98cd747,sofa-boot-project/sofa-boot-actuator-autoconfigure/src/main/java/com/alipay/sofa/boot/actuator/autoconfigure/health/SofaBootHealthCheckAutoConfiguration.java,SofaBootHealthCheckAutoConfiguration.java,5,        @Bean,122
10,11aafd9871693f1d70be17c02cccddfdd98cd747,sofa-boot-project/sofa-boot-core/healthcheck-sofa-boot/src/test/java/com/alipay/sofa/healthcheck/test/HealthIndicatorExclusionTest.java,HealthIndicatorExclusionTest.java,1,        @Bean,52
11,11aafd9871693f1d70be17c02cccddfdd98cd747,sofa-boot-project/sofa-boot-core/healthcheck-sofa-boot/src/test/java/com/alipay/sofa/healthcheck/test/HealthIndicatorExclusionTest.java,HealthIndicatorExclusionTest.java,1,        @Bean,57
12,11aafd9871693f1d70be17c02cccddfdd98cd747,sofa-boot-project/sofa-boot-core/healthcheck-sofa-boot/src/test/java/com/alipay/sofa/healthcheck/test/HealthIndicatorExclusionTest.java,HealthIndicatorExclusionTest.java,1,        @Bean,62
13,11aafd9871693f1d70be17c02cccddfdd98cd747,sofa-boot-project/sofa-boot-core/healthcheck-sofa-boot/src/test/java/com/alipay/sofa/healthcheck/test/HealthIndicatorExclusionTest.java,HealthIndicatorExclusionTest.java,1,        @Bean,67
14,11aafd9871693f1d70be17c02cccddfdd98cd747,sofa-boot-project/sofa-boot-core/healthcheck-sofa-boot/src/test/java/com/alipay/sofa/healthcheck/test/HealthIndicatorExclusionTest.java,HealthIndicatorExclusionTest.java,1,        @Bean,72
15,9bee6015764051fd763f542e828c3edf88ad9cb7,sofa-boot-project/sofa-boot-actuator-autoconfigure/src/test/java/com/alipay/sofa/actuator/autoconfigure/test/TestHealthCheckConfiguration.java,TestHealthCheckConfiguration.java,4,    @Bean,37
16,9bee6015764051fd763f542e828c3edf88ad9cb7,sofa-boot-project/sofa-boot-actuator-autoconfigure/src/test/java/com/alipay/sofa/actuator/autoconfigure/test/TestHealthCheckConfiguration.java,TestHealthCheckConfiguration.java,4,    @Bean,47
17,bd5867e388fe24b62297e7109a6085dd54763360,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/runtime/SofaRuntimeAutoConfiguration.java,SofaRuntimeAutoConfiguration.java,5,    @Bean,60
18,bd5867e388fe24b62297e7109a6085dd54763360,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/runtime/SofaRuntimeAutoConfiguration.java,SofaRuntimeAutoConfiguration.java,5,"    @Bean(destroyMethod = """")",95
19,bd5867e388fe24b62297e7109a6085dd54763360,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/runtime/SofaRuntimeAutoConfiguration.java,SofaRuntimeAutoConfiguration.java,5,    @Bean,89
20,bd5867e388fe24b62297e7109a6085dd54763360,sofa-boot-project/sofa-boot-core/runtime-sofa-boot/src/test/java/com/alipay/sofa/runtime/test/SofaEventHandlerTest.java,SofaEventHandlerTest.java,5,        @Bean,182
21,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-actuator-autoconfigure/src/main/java/com/alipay/sofa/boot/actuator/autoconfigure/startup/StartupHealthCheckStageConfiguration.java,StartupHealthCheckStageConfiguration.java,1,    @Bean,40
22,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-actuator-autoconfigure/src/test/java/com/alipay/sofa/actuator/autoconfigure/test/TestHealthCheckConfiguration.java,TestHealthCheckConfiguration.java,1,    @Bean,37
23,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-actuator-autoconfigure/src/test/java/com/alipay/sofa/actuator/autoconfigure/test/TestHealthCheckConfiguration.java,TestHealthCheckConfiguration.java,1,    @Bean,47
24,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/startup/SofaStartupConfiguration.java,SofaStartupConfiguration.java,4,        @Bean,61
25,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/startup/SofaStartupConfiguration.java,SofaStartupConfiguration.java,4,        @Bean,73
26,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/startup/SofaStartupConfiguration.java,SofaStartupConfiguration.java,4,        @Bean,84
27,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/startup/SofaStartupConfiguration.java,SofaStartupConfiguration.java,4,        @Bean,96
28,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/startup/SofaStartupConfiguration.java,SofaStartupConfiguration.java,4,        @Bean,107
29,359584460b36e65677ac947c1157a8bcb5f38da5,sofa-boot-project/sofa-boot-autoconfigure/src/main/java/com/alipay/sofa/boot/autoconfigure/startup/SofaStartupConfiguration.java,SofaStartupConfiguration.java,4,        @Bean,119
