,commit_hash,file_path,filename,action,change,line
0,c39d559f528182b12ef16521d9ea74c19b922943,lab-24/lab-24-apidoc-swagger-starter/src/main/java/cn/iocoder/springboot/lab24/config/SwaggerConfiguration.java,SwaggerConfiguration.java,1,    @Bean,16
1,7770689bea7fb70a575a439f64f27d506ba5fcc2,lab-11-spring-data-redis/lab-07-spring-data-redis-unit-test/src/main/java/cn/iocoder/springboot/labs/lab10/springdatarediswithjedis/config/RedisConfiguration.java,RedisConfiguration.java,1,    @Bean,12
2,7770689bea7fb70a575a439f64f27d506ba5fcc2,lab-11-spring-data-redis/lab-07-spring-data-redis-unit-test/src/test/java/cn/iocoder/springboot/labs/lab10/springdatarediswithjedis/config/TestRedisConfiguration.java,TestRedisConfiguration.java,1,//    @Bean,19
3,31866ac9c205e7a6d47eccebeda860f619eb486a,lab-10/src/main/java/cn/iocoder/springboot/labs/lab10/TestListener.java,TestListener.java,4,@Component,7
4,31866ac9c205e7a6d47eccebeda860f619eb486a,lab-10/src/main/java/cn/iocoder/springboot/labs/lab10/UserHealthIndicator.java,UserHealthIndicator.java,4,//@Component,6
5,31866ac9c205e7a6d47eccebeda860f619eb486a,lab-10/src/main/java/cn/iocoder/springboot/labs/lab10/lifecycle/ServerLifeCycleConfiguration.java,ServerLifeCycleConfiguration.java,4,    @Bean,9
6,31866ac9c205e7a6d47eccebeda860f619eb486a,lab-10/src/main/java/cn/iocoder/springboot/labs/lab10/lifecycle/ServerLifeCycleConfiguration.java,ServerLifeCycleConfiguration.java,4,    @Bean,14
7,ac113de0f3e734a1d46729911f571ff7d08e9c1b,lab-68/lab-68-demo21-authorization-server-on-sso/src/main/java/cn/iocoder/springboot/lab68/authorizationserverdemo/config/OAuth2AuthorizationServerConfig.java,OAuth2AuthorizationServerConfig.java,5,    @Bean,38
8,ac113de0f3e734a1d46729911f571ff7d08e9c1b,lab-68/lab-68-demo21-authorization-server-on-sso/src/main/java/cn/iocoder/springboot/lab68/authorizationserverdemo/config/OAuth2AuthorizationServerConfig.java,OAuth2AuthorizationServerConfig.java,5,    @Bean,58
9,0eff76186e2549a621a9d733730eaf360b43dbf3,lab-68/lab-68-demo21-authorization-server-on-sso/src/main/java/cn/iocoder/springboot/lab68/authorizationserverdemo/config/SecurityConfig.java,SecurityConfig.java,1,    @Bean(name = BeanIds.AUTHENTICATION_MANAGER),17
10,0eff76186e2549a621a9d733730eaf360b43dbf3,lab-68/lab-68-demo21-authorization-server-on-sso/src/main/java/cn/iocoder/springboot/lab68/authorizationserverdemo/config/SecurityConfig.java,SecurityConfig.java,1,    @Bean,22
11,427792b21ca3f46f50ad79a536d18b2a3e09a8da,lab-68/lab-68-demo11-authorization-server-by-jwt-store/src/main/java/cn/iocoder/springboot/lab68/authorizationserverdemo/config/OAuth2AuthorizationServerConfig.java,OAuth2AuthorizationServerConfig.java,1,    @Bean,28
12,427792b21ca3f46f50ad79a536d18b2a3e09a8da,lab-68/lab-68-demo11-authorization-server-by-jwt-store/src/main/java/cn/iocoder/springboot/lab68/authorizationserverdemo/config/OAuth2AuthorizationServerConfig.java,OAuth2AuthorizationServerConfig.java,1,    @Bean,35
13,427792b21ca3f46f50ad79a536d18b2a3e09a8da,lab-68/lab-68-demo11-authorization-server-by-jwt-store/src/main/java/cn/iocoder/springboot/lab68/authorizationserverdemo/config/SecurityConfig.java,SecurityConfig.java,1,    @Bean(name = BeanIds.AUTHENTICATION_MANAGER),17
