,commit_hash,file_path,filename,line,accessed_class
0,7167b23b3ba7dd79410f6e9db350d16cbe30617b,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
1,7167b23b3ba7dd79410f6e9db350d16cbe30617b,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
2,7167b23b3ba7dd79410f6e9db350d16cbe30617b,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
3,7167b23b3ba7dd79410f6e9db350d16cbe30617b,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
4,3f7fc0cf5b12ad1a73e6d76302c2cceb63b65eaf,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
5,3f7fc0cf5b12ad1a73e6d76302c2cceb63b65eaf,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
6,3f7fc0cf5b12ad1a73e6d76302c2cceb63b65eaf,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
7,3f7fc0cf5b12ad1a73e6d76302c2cceb63b65eaf,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
8,e6a4deda6622ac3c34758937d2573d40d23a39dc,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
9,e6a4deda6622ac3c34758937d2573d40d23a39dc,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
10,e6a4deda6622ac3c34758937d2573d40d23a39dc,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
11,e6a4deda6622ac3c34758937d2573d40d23a39dc,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
12,f3ffe841d994bc2b6155ec132a974f3d90d6bc3e,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
13,f3ffe841d994bc2b6155ec132a974f3d90d6bc3e,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
14,f3ffe841d994bc2b6155ec132a974f3d90d6bc3e,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
15,f3ffe841d994bc2b6155ec132a974f3d90d6bc3e,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
16,b164fa2133272decd3fd97b1e45259fc17b25a8d,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
17,b164fa2133272decd3fd97b1e45259fc17b25a8d,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
18,b164fa2133272decd3fd97b1e45259fc17b25a8d,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
19,b164fa2133272decd3fd97b1e45259fc17b25a8d,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
20,01d4604a2f7ae17ac5bd9a39f4310bbcc2ca098f,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
21,01d4604a2f7ae17ac5bd9a39f4310bbcc2ca098f,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
22,01d4604a2f7ae17ac5bd9a39f4310bbcc2ca098f,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
23,01d4604a2f7ae17ac5bd9a39f4310bbcc2ca098f,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
24,9ad61c6bf757be8d8968fd5977ab3ae15b0c5aba,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
25,9ad61c6bf757be8d8968fd5977ab3ae15b0c5aba,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
26,9ad61c6bf757be8d8968fd5977ab3ae15b0c5aba,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
27,9ad61c6bf757be8d8968fd5977ab3ae15b0c5aba,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
28,8b2ff14399264a378130c41cf0a00ca66d0c3a60,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
29,8b2ff14399264a378130c41cf0a00ca66d0c3a60,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
30,8b2ff14399264a378130c41cf0a00ca66d0c3a60,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
31,8b2ff14399264a378130c41cf0a00ca66d0c3a60,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
32,384d804930e054a331a0be32826a99e6fd8a35a4,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
33,384d804930e054a331a0be32826a99e6fd8a35a4,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
34,384d804930e054a331a0be32826a99e6fd8a35a4,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
35,384d804930e054a331a0be32826a99e6fd8a35a4,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
36,05fe2a64f59127c02135be22f416e91260d6ede6,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
37,05fe2a64f59127c02135be22f416e91260d6ede6,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
38,05fe2a64f59127c02135be22f416e91260d6ede6,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
39,05fe2a64f59127c02135be22f416e91260d6ede6,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
40,ff57344f7171ea8b0935c4f842cacf1097266592,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
41,ff57344f7171ea8b0935c4f842cacf1097266592,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
42,ff57344f7171ea8b0935c4f842cacf1097266592,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
43,ff57344f7171ea8b0935c4f842cacf1097266592,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
44,02aaa01b8f74c0eb496d76685ec49fddeb311087,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
45,02aaa01b8f74c0eb496d76685ec49fddeb311087,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
46,02aaa01b8f74c0eb496d76685ec49fddeb311087,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
47,02aaa01b8f74c0eb496d76685ec49fddeb311087,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
48,e9a75f4be71a4d5a794ccd063522eea4b0f3194f,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
49,e9a75f4be71a4d5a794ccd063522eea4b0f3194f,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
50,e9a75f4be71a4d5a794ccd063522eea4b0f3194f,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
51,e9a75f4be71a4d5a794ccd063522eea4b0f3194f,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
52,d27ad5259228e84c235dac24cd62f974ac0a8e1d,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
53,d27ad5259228e84c235dac24cd62f974ac0a8e1d,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
54,d27ad5259228e84c235dac24cd62f974ac0a8e1d,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
55,d27ad5259228e84c235dac24cd62f974ac0a8e1d,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
56,b83dc2e8c4ff06cf233cd347f1280bb417482985,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
57,b83dc2e8c4ff06cf233cd347f1280bb417482985,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
58,b83dc2e8c4ff06cf233cd347f1280bb417482985,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
59,b83dc2e8c4ff06cf233cd347f1280bb417482985,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
60,527f3a3d0d71ad6dc66ede6f68f6fc316904ed2a,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
61,527f3a3d0d71ad6dc66ede6f68f6fc316904ed2a,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
62,527f3a3d0d71ad6dc66ede6f68f6fc316904ed2a,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
63,527f3a3d0d71ad6dc66ede6f68f6fc316904ed2a,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
64,2db63942882d91020b46d7333285e5c94f1d1e52,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
65,2db63942882d91020b46d7333285e5c94f1d1e52,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
66,2db63942882d91020b46d7333285e5c94f1d1e52,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
67,2db63942882d91020b46d7333285e5c94f1d1e52,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
68,64634e1c3e357251a84278c26b73b04fc3450ea3,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
69,64634e1c3e357251a84278c26b73b04fc3450ea3,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
70,64634e1c3e357251a84278c26b73b04fc3450ea3,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
71,64634e1c3e357251a84278c26b73b04fc3450ea3,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
72,f8ee412316b1a94d3dc35498359cc2f0ca273216,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
73,f8ee412316b1a94d3dc35498359cc2f0ca273216,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
74,f8ee412316b1a94d3dc35498359cc2f0ca273216,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
75,f8ee412316b1a94d3dc35498359cc2f0ca273216,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
76,de77f666b6bcc640425dbbca559c9d62ea64a815,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
77,de77f666b6bcc640425dbbca559c9d62ea64a815,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
78,de77f666b6bcc640425dbbca559c9d62ea64a815,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
79,de77f666b6bcc640425dbbca559c9d62ea64a815,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
80,877750a0c8a5aff8d99e5164a1abed487d7f70cc,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
81,877750a0c8a5aff8d99e5164a1abed487d7f70cc,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
82,877750a0c8a5aff8d99e5164a1abed487d7f70cc,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
83,877750a0c8a5aff8d99e5164a1abed487d7f70cc,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
84,ba3799facea95317bfd09ab802d0725b984ac2e3,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
85,ba3799facea95317bfd09ab802d0725b984ac2e3,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
86,ba3799facea95317bfd09ab802d0725b984ac2e3,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
87,ba3799facea95317bfd09ab802d0725b984ac2e3,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
88,318e5a7861940cf0cf796bffb033e148d049b524,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
89,318e5a7861940cf0cf796bffb033e148d049b524,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
90,318e5a7861940cf0cf796bffb033e148d049b524,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
91,318e5a7861940cf0cf796bffb033e148d049b524,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
92,8d9690a8be8d2c320f73b0f6074fdd8478eab0ae,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
93,8d9690a8be8d2c320f73b0f6074fdd8478eab0ae,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
94,8d9690a8be8d2c320f73b0f6074fdd8478eab0ae,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
95,8d9690a8be8d2c320f73b0f6074fdd8478eab0ae,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
96,cfec8c7d242feaff0d42ff61c28993ffa537fb83,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
97,cfec8c7d242feaff0d42ff61c28993ffa537fb83,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
98,cfec8c7d242feaff0d42ff61c28993ffa537fb83,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
99,cfec8c7d242feaff0d42ff61c28993ffa537fb83,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
100,1254795902e56eb545e1fe696827924bc5e82b66,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
101,1254795902e56eb545e1fe696827924bc5e82b66,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
102,1254795902e56eb545e1fe696827924bc5e82b66,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
103,1254795902e56eb545e1fe696827924bc5e82b66,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
104,8b39600f931e341fb8a387a20b367bf88762b6a5,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
105,8b39600f931e341fb8a387a20b367bf88762b6a5,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
106,8b39600f931e341fb8a387a20b367bf88762b6a5,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
107,8b39600f931e341fb8a387a20b367bf88762b6a5,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
108,2bca0a42dcb09f522ceadcb97dfb8534a72d584c,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
109,2bca0a42dcb09f522ceadcb97dfb8534a72d584c,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
110,2bca0a42dcb09f522ceadcb97dfb8534a72d584c,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
111,2bca0a42dcb09f522ceadcb97dfb8534a72d584c,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
112,b4f26d249ae9d25f3ca777908ff430d02487a20a,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
113,b4f26d249ae9d25f3ca777908ff430d02487a20a,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
114,b4f26d249ae9d25f3ca777908ff430d02487a20a,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
115,b4f26d249ae9d25f3ca777908ff430d02487a20a,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
116,66083734d13aa67e616f3c4b429c019c5992bba0,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
117,66083734d13aa67e616f3c4b429c019c5992bba0,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,205,java.nio.file.Files
118,66083734d13aa67e616f3c4b429c019c5992bba0,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,257,java.nio.file.Files
119,66083734d13aa67e616f3c4b429c019c5992bba0,src/main/java/org/junit/rules/TemporaryFolder.java,TemporaryFolder.java,259,java.nio.file.Path
120,116c1e7e203d4392c7647bce2b307635896dcd6d,src/test/java/org/junit/rules/TempFolderRuleTest.java,TempFolderRuleTest.java,203,java.nio.file.Path
