repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
SoftInstigate/restheart,101,699,225,3580,https://github.com/SoftInstigate/restheart.git,6eae38956796eba574f075d407e763708f4a3f8b,master,94.34106466529147
eclipse/milo,101,685,321,1133,https://github.com/eclipse/milo.git,f86bfda23a561d98a539184f9f99837720e7ff10,master,99.92951806559974
castorini/anserini,101,679,295,1333,https://github.com/castorini/anserini.git,65645e1facccc830b6604326390f868ec59e82fe,master,76.92623370293651
consulo/consulo,101,643,1039,105992,https://github.com/consulo/consulo.git,6a12e2aa9eb151d8a33b27cc93ba53650717c6dc,master,99.21466281032174
logicalclocks/hopsworks,101,609,148,5754,https://github.com/logicalclocks/hopsworks.git,e11cd4be1369e0a8b36f88a2fda8561e4cb45521,master,61.75126635855527
Esri/geometry-api-java,101,609,441,254,https://github.com/Esri/geometry-api-java.git,a1af6612f4de7fc1baee1c331c335f154a4a96c9,master,100.0
dynjs/dynjs,101,608,874,2475,https://github.com/dynjs/dynjs.git,4bc6715eff8768f8cd92c6a167d621bbfc1e1a91,master,68.3041099555752
spring-projects/spring-data-commons,101,607,1843,2467,https://github.com/spring-projects/spring-data-commons.git,1040452c621d9e802eba1e7beb04ddf19e5c73cb,main,98.3616082121097
DSpace/DSpace,101,607,3371,14692,https://github.com/DSpace/DSpace.git,7fda074543abddb1408935d50cbb4d2c4d5aec0e,main,96.58546825766582
rackerlabs/blueflood,101,591,1129,2981,https://github.com/rackerlabs/blueflood.git,b952e85740f232a432c6b7b5a0ae491a5b24c39f,master,97.49386912103924
secure-software-engineering/FlowDroid,101,584,1043,882,https://github.com/secure-software-engineering/FlowDroid.git,3e531f8d560672e78b113ca825a686979c9d719d,master,100.0
beanshell/beanshell,101,580,313,819,https://github.com/beanshell/beanshell.git,0226f4f000c49772bf3e75f53066a5789675f7aa,master,99.07640689238345
openhab/openhab-core,101,579,2005,1516,https://github.com/openhab/openhab-core.git,917e268e68049eafdcb215ad4c1f11ae5c3fad7e,main,98.4253190152077
awslabs/amazon-kinesis-client,101,574,566,388,https://github.com/awslabs/amazon-kinesis-client.git,9f6d27900c2fa3a4f3b5fe5e1fbe2413be8e129a,master,100.0
apache/ranger,101,554,1435,3709,https://github.com/apache/ranger.git,57c6c2407d8150e60180d5b41612897aa1704bac,master,68.5545489108964
digitalfondue/lavagna,101,551,486,1749,https://github.com/digitalfondue/lavagna.git,dc3a01a5df4efd3ded52c9bfb130bc387a5b4ec8,master,56.16555658622284
jqno/equalsverifier,101,550,955,2230,https://github.com/jqno/equalsverifier.git,367cc6bf8d17cafefb6c3e68bf6ecd5da0c9e1e0,main,100.0
wmixvideo/nfe,101,541,3586,2155,https://github.com/wmixvideo/nfe.git,c56d1a3d24720c8ad37872bbd71c03695b0c9b07,master,100.0
PhoenicisOrg/phoenicis,101,532,148,2726,https://github.com/PhoenicisOrg/phoenicis.git,c16f085c635c4c01f0346713bad09939abf5a397,master,93.56406798303043
ofdrw/ofdrw,101,524,305,808,https://github.com/ofdrw/ofdrw.git,dabfcb13a970135a3e8fd6372fbbe844af6bc2f8,master,87.45941049949883
ThreeTen/threetenbp,101,510,2601,3211,https://github.com/ThreeTen/threetenbp.git,82fea106b280c0b2c6d579124c7a1d67b4ab9302,master,99.43095460340302
wso2/product-is,101,495,1485,8177,https://github.com/wso2/product-is.git,97b6aab2154dc9902ac5a9530754de653b340f0e,master,67.02524506425472
protegeproject/webprotege,101,494,4363,5460,https://github.com/protegeproject/webprotege.git,3b2f18d94eb177b4985ea257f45ad325310adbc4,master,83.03691001567833
redpen-cc/redpen,101,489,775,2220,https://github.com/redpen-cc/redpen.git,875029898b36d9dd4a053a0f925cf7c1a726c6af,master,93.8030218779147
nuxeo/nuxeo,101,469,6906,50889,https://github.com/nuxeo/nuxeo.git,05753c13d97d599b87acf8710ca523dbd89738f4,master,80.67556478945919
eclipse/steady,101,455,622,1907,https://github.com/eclipse/steady.git,2d88729630da696eea85e352ed62496d3a60710d,master,92.18360604316248
arx-deidentifier/arx,101,437,133,4195,https://github.com/arx-deidentifier/arx.git,204214fb1a4c56da0fcc85866b69d8bf60452ccd,master,99.62232081057545
apache/incubator-inlong,101,431,281,711,https://github.com/apache/incubator-inlong.git,6353d9175944765ff71ca437cd18303ec4609508,master,75.29691709316974
apache/commons-math,101,424,3079,6934,https://github.com/apache/commons-math.git,142dcaa92109648d69b06694d80b377ab7fd8424,master,99.29306095571039
Multibit-Legacy/multibit,101,418,138,1688,https://github.com/Multibit-Legacy/multibit.git,21e2e9d653d291a7dc36d21b6fc14b2a0da48985,master,100.0
Adobe-Consulting-Services/acs-aem-commons,101,407,1696,4291,https://github.com/Adobe-Consulting-Services/acs-aem-commons.git,dcd311ec51f1d4d742e39e235eee674c9b45cc59,master,92.2380802011596
arnaudroger/SimpleFlatMapper,101,395,1588,3379,https://github.com/arnaudroger/SimpleFlatMapper.git,fbc08180307ae9ad1a5343bafc5575bd9ad66c38,master,99.49751848120825
tordanik/OSM2World,101,371,201,1196,https://github.com/tordanik/OSM2World.git,d69ce3275c531d3c6ac565207016b377b89d7d9f,master,99.20824890440485
smallrye/smallrye-mutiny,101,367,2897,1709,https://github.com/smallrye/smallrye-mutiny.git,68e6ab20f0a6b0d2aeaddea59729b829473fe6f1,main,99.14377575013881
ICIJ/datashare,101,365,465,2348,https://github.com/ICIJ/datashare.git,2b45285d15c37bfa55dae8b56db27a328c18167f,master,98.60606835658406
nuls-io/nuls,101,362,134,6614,https://github.com/nuls-io/nuls.git,6748a8d53a6f6ed3258a87c8baa2cdb24dba2a7d,master,99.74650133998425
latexdraw/latexdraw,101,361,2428,2494,https://github.com/latexdraw/latexdraw.git,ce5ef5c681cf264d386263b8c6d8569d10318aed,master,99.23282629201604
NGDATA/hbase-indexer,101,352,272,623,https://github.com/NGDATA/hbase-indexer.git,223d8da6d9aa8d61a1c45f26e8d5014b012e2d06,master,98.05891556333171
forcedotcom/dataloader,101,352,190,740,https://github.com/forcedotcom/dataloader.git,f579f5b64e6015441067d95217aaabb0b11f3b4d,master,97.78962830125236
apache/helix,101,349,1465,4112,https://github.com/apache/helix.git,9c5e9fc9aafed8c65d8d93de4b25ed76d42201ea,master,94.55797408833283
AuthMe/AuthMeReloaded,101,348,989,4006,https://github.com/AuthMe/AuthMeReloaded.git,4f0bee4d5f2958563163d4c172cca2374fe4da5b,master,99.84828460156199
caelum/vraptor4,101,344,857,3761,https://github.com/caelum/vraptor4.git,593ce9ad60f9d38c360881b2132417c56b8cc093,master,78.27224628911205
caelum/mamute,101,342,349,3661,https://github.com/caelum/mamute.git,bc0a94d188557c0ff65dd0ecf5b74a6dbf76056b,master,55.003413223365726
NemProject/nem.core,101,341,1831,687,https://github.com/NemProject/nem.core.git,1d05eb07057d86e2bb1f58e74a2e7f582a790c0e,main,99.96439891121699
sepinf-inc/IPED,101,337,250,4811,https://github.com/sepinf-inc/IPED.git,afc11a729914e910add25287f6ba312b5ebf8fba,master,92.57586038660618
apache/maven-surefire,101,330,2109,3005,https://github.com/apache/maven-surefire.git,970103a9a8738cadaa282f62ef67644c0169e680,master,99.8708326467815
ThreeTen/threeten-extra,101,321,1670,627,https://github.com/ThreeTen/threeten-extra.git,e86f407ce31a407af1e280888bf3e16fb85c13a5,master,99.94056206835319
PeteGoo/tcSlackBuildNotifier,101,318,101,315,https://github.com/PeteGoo/tcSlackBuildNotifier.git,963fe3c58a6dca590fd71c27bea4ac5d4e9c4370,master,98.51897754343682
RIPE-NCC/whois,101,318,3953,4558,https://github.com/RIPE-NCC/whois.git,059f74b04155e811cb8d390f8c17b034b8839762,master,55.889804719676974
SonarSource/sonar-php,101,311,1231,2316,https://github.com/SonarSource/sonar-php.git,211e9daeff55044262ec1aa3f87999844e7048c2,master,73.82737406916276
chubaostream/joyqueue,101,306,250,2277,https://github.com/chubaostream/joyqueue.git,a88914c55f27728ae7234fc457488ca2e2ad4ee0,master,84.0967786582239
megaease/easeagent,101,301,123,289,https://github.com/megaease/easeagent.git,a805dd61443f3f24fd9763e4ffeb1b402674b82c,master,99.71211882207407
agoncal/agoncal-book-javaee7,101,282,349,500,https://github.com/agoncal/agoncal-book-javaee7.git,216cc7024a48b6efc649e8feef8eaca90a0d4be5,master,94.83539854520006
apache/incubator-streampipes,101,273,222,6397,https://github.com/apache/incubator-streampipes.git,3618e0ad66f8d9ac18ffdd53a0a993675694f3c1,master,54.120817689878734
yegor256/qulice,101,266,130,1743,https://github.com/yegor256/qulice.git,e928a4079173d38ede02806177ec032d34b53dba,master,94.47460109703553
abertschi/graalphp,101,258,112,561,https://github.com/abertschi/graalphp.git,29e22de14d919ccd5647603b54ccd9eb25725d50,master,59.61015043217197
kframework/k,101,252,300,16544,https://github.com/kframework/k.git,369f5f65f4acc5ca0fcf1538e4abc9fdd249c1d6,master,81.75060572362035
getrebuild/rebuild,101,228,186,2979,https://github.com/getrebuild/rebuild.git,df446222ca6fc7f64f4848b53dc1e4593b6d9bc9,master,87.95163951330171
BowlerHatLLC/vscode-as3mxml,101,221,285,1628,https://github.com/BowlerHatLLC/vscode-as3mxml.git,2d1c9a798ec98ef529429337b109b19023f9cefc,master,50.964582936830624
argparse4j/argparse4j,101,218,156,479,https://github.com/argparse4j/argparse4j.git,6c0f8590f7408025daa5f3b234e914cf805808a6,master,96.92742440335094
decorators-squad/eo-yaml,101,212,404,845,https://github.com/decorators-squad/eo-yaml.git,1fd41c48ba44a3cb39b25fd1d2fccfc4a2e7eabb,master,99.73269928290715
vlingo/xoom-actors,101,210,180,1099,https://github.com/vlingo/xoom-actors.git,19cbb2ff3f204744e57361ad6430376edc1174e3,master,99.77118491957904
AgNO3/jcifs-ng,101,199,180,412,https://github.com/AgNO3/jcifs-ng.git,6686cd9daea2326aa28c4f8b02e5fe010742852a,master,99.93595222883846
jenkinsci/gerrit-trigger-plugin,101,197,405,1755,https://github.com/jenkinsci/gerrit-trigger-plugin.git,af21088795b15c75373fbdd3d795abf6c84c209e,master,93.80646594691734
zolyfarkas/spf4j,101,195,517,32649,https://github.com/zolyfarkas/spf4j.git,17f61fa99babfad3ac57d0459291586139575ed4,master,99.99760439496404
veraPDF/veraPDF-library,101,193,161,2877,https://github.com/veraPDF/veraPDF-library.git,c5b77248ecae6a758dcedcdbd070d4fc70726095,master,87.15964416588695
SonarSource/sonar-python,101,181,1033,1664,https://github.com/SonarSource/sonar-python.git,57a663df4f33e207d2976565206d61aac2395e7f,master,78.18165572992683
labsai/EDDI,101,181,145,1211,https://github.com/labsai/EDDI.git,b5c265d1517d3c722340a760365b6aa1d9c43bf3,master,64.52411808564865
sarahtattersall/PIPE,101,178,211,653,https://github.com/sarahtattersall/PIPE.git,c44b32c02d294d0256c45ea2a428b0c161099cb3,master,99.94115412492106
jbosstm/narayana,101,177,3664,2863,https://github.com/jbosstm/narayana.git,e32d318e2cac31070563000fb4ebc6672ea1f9cd,master,99.12086675689524
ctt-gob-es/clienteafirma,101,177,468,6398,https://github.com/ctt-gob-es/clienteafirma.git,1222bbef9f64c68c9980ec266fc75c8635dd0eea,master,65.77775379862388
acgist/snail,101,175,269,2474,https://github.com/acgist/snail.git,9c2b5f29ff5e0170fdd6056e9c33f5124ea6604d,master,99.28046639798168
opentelecoms-org/jsmpp,101,173,182,789,https://github.com/opentelecoms-org/jsmpp.git,7c193627e494b82ebfc462e88a978d23a66c9a2a,master,99.71695014121502
apache/incubator-hop,101,168,2686,3171,https://github.com/apache/incubator-hop.git,0d93d5b33737433b5a26278835919620a96c656c,master,99.2553682886389
