repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
redis/jedis,101,10127,733,1854,https://github.com/redis/jedis.git,253664ff1eac37fdab7ea3e5e738a11f34f8f410,master,98.785400293197
apache/zookeeper,101,9962,1314,2368,https://github.com/apache/zookeeper.git,864b8a7c8044349b29b0e67952323a8cb2bc2dd4,master,75.20152203819424
apache/pulsar,101,9880,5194,7777,https://github.com/apache/pulsar.git,2c4d913c4b3fb1c6d924efaa0a24c93a2d2de7d0,master,89.42706845377411
square/javapoet,101,9255,312,846,https://github.com/square/javapoet.git,88517888277e3e92cbbdd054228f7f0ff68a841c,master,100.0
perwendel/spark,101,9209,306,1062,https://github.com/perwendel/spark.git,54079b0f95f0076dd3c440e1255a7d449d9489f1,master,99.96632135396683
MyCATApache/Mycat-Server,101,9140,186,2845,https://github.com/MyCATApache/Mycat-Server.git,92174cd734f1666eee28d534bf532d0c459da941,master,99.13746241932525
jhy/jsoup,101,9122,920,1609,https://github.com/jhy/jsoup.git,46b0b9569a76b65f31e75fa94d38f6766709c52a,master,81.11313610932346
quarkusio/quarkus,101,8816,6201,26202,https://github.com/quarkusio/quarkus.git,0f896210478bca223b60ec740433ea88bd764e1b,main,96.81593058973964
TooTallNate/Java-WebSocket,101,8558,499,1089,https://github.com/TooTallNate/Java-WebSocket.git,bcfc9675d61193980f38d5f0b3401ea787bbbe5f,master,57.40864231723574
OpenRefine/OpenRefine,101,8481,1058,6165,https://github.com/OpenRefine/OpenRefine.git,8d06810af85af6faae2f7d1cba2d27e8e66f8b4d,master,69.7100930369458
stanfordnlp/CoreNLP,101,8219,996,16791,https://github.com/stanfordnlp/CoreNLP.git,0f7c464edc7c346c028eec128d0025f61321962d,main,98.19332535057704
junit-team/junit4,101,8213,1408,2480,https://github.com/junit-team/junit4.git,7167b23b3ba7dd79410f6e9db350d16cbe30617b,main,97.28304397814308
Activiti/Activiti,101,8159,727,10768,https://github.com/Activiti/Activiti.git,f9351cc5b978942a31629283003bf564c158fd70,master,99.7512094503742
dropwizard/dropwizard,101,8054,1792,6089,https://github.com/dropwizard/dropwizard.git,684c51ecbf434659e527e5b8ab2e34d1357f71f7,master,99.72491123102398
square/moshi,101,7744,582,939,https://github.com/square/moshi.git,954ca46b9ed994e6e52a9fc613b2dc80a9da4b98,master,67.50086874168395
OpenFeign/feign,101,7607,743,976,https://github.com/OpenFeign/feign.git,f21d32a7d9d9401f8f12bf000038682e1984345a,master,99.72054562321762
apache/shardingsphere-elasticjob,101,7320,987,2195,https://github.com/apache/shardingsphere-elasticjob.git,49506b53cbfa9bca5b6603b2815c20b93b718437,master,99.74979339246322
signalapp/Signal-Server,101,7210,583,2004,https://github.com/signalapp/Signal-Server.git,aaa2a6eef17fd7d6808e7d726eeb40a670bc1c22,master,99.79633793902713
vipshop/vjtools,101,7182,190,401,https://github.com/vipshop/vjtools.git,4c1ee2a312b7ef088e21081a93da3681c97bef69,master,96.59275619745826
questdb/questdb,101,6915,6547,3180,https://github.com/questdb/questdb.git,883474bd7513b00442224bcf3f8f14e5388e31c4,master,83.31775246841195
alibaba/otter,101,6893,192,139,https://github.com/alibaba/otter.git,7f80d17d74e5bf1b2c092b61abd6a3a13eed43f3,master,90.67600950243744
apache/dolphinscheduler,101,6702,162,5417,https://github.com/apache/dolphinscheduler.git,daf21b09dd94e8a5e0e360299b567a63869044a9,master,78.92102338995096
abel533/Mapper,101,6658,254,711,https://github.com/abel533/Mapper.git,84e33f7c9e11ae4b165637a08706d7ed766b89eb,master,99.34988717050066
NLPchina/elasticsearch-sql,101,6539,403,972,https://github.com/NLPchina/elasticsearch-sql.git,4b1c87eb1cfe40e170a4985a9d7323c1db5f5a7d,master,94.99751930292412
Angel-ML/angel,101,6437,103,2857,https://github.com/Angel-ML/angel.git,0e60cddf5efa3d24ddd6a939117b0cd4117a9282,master,74.80875550981915
checkstyle/checkstyle,101,6337,4099,10825,https://github.com/checkstyle/checkstyle.git,b6e54419d8bd5ecdd4193a3dbc90edb2eedaf1dd,master,98.46540865641356
