,commit_hash,file_path,filename,line,problematic_tool
0,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/util/ArgumentParser.java,ArgumentParser.java,282,clover
1,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/sequences/SeqClassifierFlags.java,SeqClassifierFlags.java,2706,clover
2,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/pipeline/LanguageInfo.java,LanguageInfo.java,53,clover
3,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/pipeline/DefaultPaths.java,DefaultPaths.java,78,clover
4,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/patterns/GetPatternsFromDataMultiClass.java,GetPatternsFromDataMultiClass.java,2974,clover
5,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/patterns/ConstantsAndVariables.java,ConstantsAndVariables.java,515,clover
6,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,25,clover
7,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,45,clover
8,0f7c464edc7c346c028eec128d0025f61321962d,src/edu/stanford/nlp/coref/statistical/StatisticalCorefTrainer.java,StatisticalCorefTrainer.java,65,clover
9,0f7c464edc7c346c028eec128d0025f61321962d,itest/src/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializerSlowITest.java,ProtobufAnnotationSerializerSlowITest.java,226,clover
10,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/util/ArgumentParser.java,ArgumentParser.java,282,clover
11,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/sequences/SeqClassifierFlags.java,SeqClassifierFlags.java,2706,clover
12,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/pipeline/LanguageInfo.java,LanguageInfo.java,53,clover
13,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/pipeline/DefaultPaths.java,DefaultPaths.java,78,clover
14,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/patterns/GetPatternsFromDataMultiClass.java,GetPatternsFromDataMultiClass.java,2974,clover
15,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/patterns/ConstantsAndVariables.java,ConstantsAndVariables.java,515,clover
16,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,25,clover
17,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,45,clover
18,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,src/edu/stanford/nlp/coref/statistical/StatisticalCorefTrainer.java,StatisticalCorefTrainer.java,65,clover
19,5cd948d92fb742ac96b4b5619c1c6e9da880c9ea,itest/src/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializerSlowITest.java,ProtobufAnnotationSerializerSlowITest.java,226,clover
20,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/util/ArgumentParser.java,ArgumentParser.java,282,clover
21,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/sequences/SeqClassifierFlags.java,SeqClassifierFlags.java,2706,clover
22,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/pipeline/LanguageInfo.java,LanguageInfo.java,53,clover
23,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/pipeline/DefaultPaths.java,DefaultPaths.java,78,clover
24,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/patterns/GetPatternsFromDataMultiClass.java,GetPatternsFromDataMultiClass.java,2974,clover
25,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/patterns/ConstantsAndVariables.java,ConstantsAndVariables.java,515,clover
26,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,25,clover
27,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,45,clover
28,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,src/edu/stanford/nlp/coref/statistical/StatisticalCorefTrainer.java,StatisticalCorefTrainer.java,65,clover
29,d4752565a81fd80a4f965ba7fa67fc1a283ab3a2,itest/src/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializerSlowITest.java,ProtobufAnnotationSerializerSlowITest.java,226,clover
30,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/util/ArgumentParser.java,ArgumentParser.java,282,clover
31,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/sequences/SeqClassifierFlags.java,SeqClassifierFlags.java,2706,clover
32,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/pipeline/LanguageInfo.java,LanguageInfo.java,53,clover
33,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/pipeline/DefaultPaths.java,DefaultPaths.java,78,clover
34,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/patterns/GetPatternsFromDataMultiClass.java,GetPatternsFromDataMultiClass.java,2974,clover
35,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/patterns/ConstantsAndVariables.java,ConstantsAndVariables.java,515,clover
36,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,25,clover
37,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/ie/qe/Units.java,Units.java,45,clover
38,021add9f8c11842e5e15cebe6beebc5daf322cc2,src/edu/stanford/nlp/coref/statistical/StatisticalCorefTrainer.java,StatisticalCorefTrainer.java,65,clover
39,021add9f8c11842e5e15cebe6beebc5daf322cc2,itest/src/edu/stanford/nlp/pipeline/ProtobufAnnotationSerializerSlowITest.java,ProtobufAnnotationSerializerSlowITest.java,226,clover
40,3b5f34b2ec16e6dd3f2e8063bab17cc81bf6499c,src/edu/stanford/nlp/util/ArgumentParser.java,ArgumentParser.java,282,clover
41,3b5f34b2ec16e6dd3f2e8063bab17cc81bf6499c,src/edu/stanford/nlp/sequences/SeqClassifierFlags.java,SeqClassifierFlags.java,2706,clover
42,3b5f34b2ec16e6dd3f2e8063bab17cc81bf6499c,src/edu/stanford/nlp/pipeline/LanguageInfo.java,LanguageInfo.java,53,clover
43,3b5f34b2ec16e6dd3f2e8063bab17cc81bf6499c,src/edu/stanford/nlp/pipeline/DefaultPaths.java,DefaultPaths.java,78,clover
44,3b5f34b2ec16e6dd3f2e8063bab17cc81bf6499c,src/edu/stanford/nlp/patterns/GetPatternsFromDataMultiClass.java,GetPatternsFromDataMultiClass.java,2974,clover
