,commit_hash,file_path,filename,line,problematic_tool
0,f2974532c607ea239aff63bf0885628496f13bd4,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,587,clover
1,f2974532c607ea239aff63bf0885628496f13bd4,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,593,clover
2,f2974532c607ea239aff63bf0885628496f13bd4,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,631,clover
3,f2974532c607ea239aff63bf0885628496f13bd4,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,658,clover
4,f2974532c607ea239aff63bf0885628496f13bd4,common/data/src/main/java/org/thingsboard/server/common/data/device/profile/ProtoTransportPayloadConfiguration.java,ProtoTransportPayloadConfiguration.java,192,clover
5,f2974532c607ea239aff63bf0885628496f13bd4,common/data/src/main/java/org/thingsboard/server/common/data/device/profile/ProtoTransportPayloadConfiguration.java,ProtoTransportPayloadConfiguration.java,197,clover
6,f2974532c607ea239aff63bf0885628496f13bd4,application/src/test/java/org/thingsboard/server/transport/mqtt/rpc/AbstractMqttServerSideRpcIntegrationTest.java,AbstractMqttServerSideRpcIntegrationTest.java,425,clover
7,f2974532c607ea239aff63bf0885628496f13bd4,application/src/test/java/org/thingsboard/server/controller/BaseDeviceProfileControllerTest.java,BaseDeviceProfileControllerTest.java,627,clover
8,f2974532c607ea239aff63bf0885628496f13bd4,application/src/main/java/org/thingsboard/server/service/importing/AbstractBulkImportService.java,AbstractBulkImportService.java,108,clover
9,f2974532c607ea239aff63bf0885628496f13bd4,application/src/main/java/org/thingsboard/server/service/importing/AbstractBulkImportService.java,AbstractBulkImportService.java,261,clover
10,28291397ca25cc70c620a6cdba5bedda9a113258,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,587,clover
11,28291397ca25cc70c620a6cdba5bedda9a113258,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,593,clover
12,28291397ca25cc70c620a6cdba5bedda9a113258,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,631,clover
13,28291397ca25cc70c620a6cdba5bedda9a113258,dao/src/main/java/org/thingsboard/server/dao/device/DeviceProfileServiceImpl.java,DeviceProfileServiceImpl.java,658,clover
14,28291397ca25cc70c620a6cdba5bedda9a113258,common/data/src/main/java/org/thingsboard/server/common/data/device/profile/ProtoTransportPayloadConfiguration.java,ProtoTransportPayloadConfiguration.java,192,clover
