date, value
2021-09-16 04:43, 12321
2021-09-15 10:12, 12321
2021-09-15 06:17, 12321
2021-09-15 06:17, 12321
2021-09-15 06:17, 12321
2021-09-14 07:40, 12320
2021-09-14 05:15, 12122
2021-09-13 12:37, 12318
2021-09-13 09:04, 12122
2021-09-13 08:09, 11701
2021-09-12 07:01, 11701
2021-09-10 06:29, 12318
2021-09-10 05:51, 12317
2021-09-09 13:55, 12113
2021-09-09 12:24, 11692
2021-09-08 23:23, 12307
2021-09-07 08:46, 12112
2021-09-06 06:02, 12110
2021-09-05 15:28, 11691
2021-09-05 15:02, 11691
2021-08-28 05:40, 12109
2021-08-24 05:24, 12291
2021-08-23 13:28, 12290
2021-08-20 18:00, 12290
2021-08-19 13:05, 12286
2021-08-19 10:06, 11687
2021-08-18 16:52, 11687
2021-08-18 12:48, 11687
2021-08-18 07:28, 12105
2021-08-17 14:58, 12105
2021-08-17 07:14, 12268
2021-08-17 07:14, 12268
2021-08-17 07:14, 12268
2021-08-16 12:54, 12268
2021-08-16 06:14, 12105
2021-08-16 06:14, 12105
2021-08-16 05:36, 11687
2021-08-13 09:07, 12105
2021-08-12 14:46, 12253
2021-08-12 12:52, 12253
2021-08-12 07:08, 12252
2021-08-11 10:18, 12213
2021-08-10 08:04, 12211
2021-08-10 07:24, 12211
2021-08-09 13:16, 12104
2021-08-07 06:18, 12211
2021-08-05 05:43, 10678
2021-08-05 05:30, 12104
2021-08-04 07:23, 11687
2021-07-30 18:51, 12202
2021-07-29 16:28, 12199
2021-07-29 05:11, 11684
2021-07-27 06:59, 12100
2021-07-26 14:36, 11683
2021-07-26 11:34, 12199
2021-07-24 09:03, 12179
2021-07-23 16:34, 12178
2021-07-23 01:07, 12100
2021-07-22 11:14, 12178
2021-07-22 10:40, 12176
2021-07-22 08:05, 11683
2021-07-21 10:53, 12098
2021-07-21 09:58, 12176
2021-07-20 14:00, 12175
2021-07-19 19:20, 12175
2021-07-19 16:16, 11683
2021-07-19 12:19, 12176
2021-07-19 11:45, 12176
2021-07-19 10:13, 12097
2021-07-19 09:20, 11683
2021-07-16 14:32, 12165
2021-07-16 09:11, 12163
2021-07-15 19:20, 12152
2021-07-15 13:56, 12150
2021-07-15 07:48, 11680
2021-07-15 06:58, 12092
2021-07-14 16:19, 12148
2021-07-14 12:16, 12127
2021-07-13 22:18, 12092
2021-07-13 14:56, 12146
2021-07-13 13:56, 11680
2021-07-13 12:12, 11676
2021-07-12 13:07, 12133
2021-07-12 07:13, 12133
2021-07-12 07:13, 12133
2021-07-12 06:46, 12133
2021-07-12 05:55, 12133
2021-07-11 06:12, 11676
2021-07-10 11:05, 12133
2021-07-09 13:17, 12088
2021-07-09 11:37, 12085
2021-07-09 09:32, 12126
2021-07-08 20:05, 12119
2021-07-08 17:44, 12078
2021-07-08 09:45, 12116
2021-07-08 06:50, 12078
2021-07-06 07:09, 11667
2021-07-01 22:46, 12077
2021-06-29 06:22, 12115
2021-06-25 17:38, 12077
2021-06-24 17:45, 12114
2021-06-24 13:07, 12115
2021-06-24 08:53, 12114
2021-06-24 06:17, 12110
2021-06-24 05:00, 12072
2021-06-24 04:13, 12072
2021-06-24 00:54, 12070
2021-06-24 00:27, 11658
2021-06-23 17:07, 12064
2021-06-23 13:58, 12062
2021-06-23 06:22, 12062
2021-06-22 17:21, 11653
2021-06-22 11:55, 11653
2021-06-22 06:22, 12062
2021-06-22 05:54, 12062
2021-06-21 14:53, 11653
2021-06-21 11:26, 12100
2021-06-21 06:46, 11653
2021-06-18 16:20, 11653
2021-06-17 16:27, 12060
2021-06-17 06:42, 12059
2021-06-16 19:27, 12097
2021-06-16 07:27, 11653
2021-06-15 19:01, 12048
2021-06-14 20:02, 12081
2021-06-14 12:35, 11649
2021-06-14 08:18, 12081
2021-06-14 06:22, 12065
2021-06-12 16:00, 12059
2021-06-12 15:11, 12053
2021-06-11 15:01, 12052
2021-06-11 10:54, 12048
2021-06-10 10:27, 12040
2021-06-10 05:53, 12038
2021-06-09 21:46, 12038
2021-06-09 18:42, 12038
