,commit_hash,file_path,filename,action,changes
0,4be365e2ba447ac982b0d09270d2b69840a4e7b6,memorycompiler/src/test/resources/file/test folder/file.txt,file.txt,1,"{'added': [(1, ""This is a test file, it's name contains white space."")], 'deleted': []}"
1,4be365e2ba447ac982b0d09270d2b69840a4e7b6,memorycompiler/src/test/resources/file/测试目录/file.txt,file.txt,1,"{'added': [(1, ""This is a test file, it's name contains chinese character."")], 'deleted': []}"
2,716e964353bcf7f69495bbfe5ce1d1b43ed4c5c2,core/src/main/resources/com/taobao/arthas/core/http/web-console.js,web-console.js,5,"{'added': [(3, 'const DEFAULT_SCROLL_BACK = 1000'), (4, 'const MAX_SCROLL_BACK = 9999999'), (5, 'const MIN_SCROLL_BACK = 1'), (93, 'function initXterm (cols, rows,scrollback) {'), (94, '    let scrollNumber = parseInt(scrollback,10)'), (100, '        convertEol: true,'), (101, '        scrollback: isValidNumber(scrollNumber) ? scrollNumber : DEFAULT_SCROLL_BACK'), (105, 'function isValidNumber(scrollNumber){'), (106, '    return  scrollNumber >= MIN_SCROLL_BACK &&'), (107, '        scrollNumber <= MAX_SCROLL_BACK;'), (108, '}'), (109, ''), (133, ""        let scrollback = getUrlParam('scrollback');""), (137, '        initXterm(terminalSize.cols, terminalSize.rows, scrollback)')], 'deleted': [(90, 'function initXterm (cols, rows) {'), (96, '        convertEol: true'), (126, '        initXterm(terminalSize.cols, terminalSize.rows)')]}"
3,716e964353bcf7f69495bbfe5ce1d1b43ed4c5c2,tunnel-server/src/main/resources/static/web-console.js,web-console.js,5,"{'added': [(3, 'const DEFAULT_SCROLL_BACK = 1000'), (4, 'const MAX_SCROLL_BACK = 9999999'), (5, 'const MIN_SCROLL_BACK = 1'), (98, 'function initXterm (cols, rows,scrollback) {'), (99, '    let scrollNumber = parseInt(scrollback,10)'), (105, '        convertEol: true,'), (106, '        scrollback: isValidNumber(scrollNumber) ? scrollNumber : DEFAULT_SCROLL_BACK'), (110, 'function isValidNumber(scrollNumber){'), (111, '    return  scrollNumber >= MIN_SCROLL_BACK &&'), (112, '        scrollNumber <= MAX_SCROLL_BACK;'), (113, '}'), (114, ''), (161, ""        let scrollback = getUrlParam('scrollback');""), (163, '        initXterm(terminalSize.cols, terminalSize.rows,scrollback)')], 'deleted': [(95, 'function initXterm (cols, rows) {'), (101, '        convertEol: true'), (152, '        initXterm(terminalSize.cols, terminalSize.rows)')]}"
4,abad06f0350c414d91f55f275f838e9705bd5e2e,core/src/main/resources/com/taobao/arthas/core/http/web-console.js,web-console.js,5,"{'added': [(94, '        screenReaderMode: false,')], 'deleted': [(94, '        screenReaderMode: true,')]}"
5,abad06f0350c414d91f55f275f838e9705bd5e2e,tunnel-server/src/main/resources/static/web-console.js,web-console.js,5,"{'added': [(99, '        screenReaderMode: false,')], 'deleted': [(99, '        screenReaderMode: true,')]}"
6,1e1c12636c53e6339035eda0a3bb2480edf3ec8b,core/src/main/resources/com/taobao/arthas/core/http/web-console.js,web-console.js,5,"{'added': [(21, ""    var iframe = getUrlParam('iframe');""), (22, ""    if (iframe != null && iframe != 'false') {""), (23, '        $(""nav"").hide()'), (24, '    }'), (25, '')], 'deleted': []}"
7,1e1c12636c53e6339035eda0a3bb2480edf3ec8b,tunnel-server/src/main/resources/static/web-console.js,web-console.js,5,"{'added': [(22, ""    var iframe = getUrlParam('iframe');""), (23, ""    if (iframe != null && iframe != 'false') {""), (24, '        $(""nav"").hide()'), (25, '    }'), (26, '')], 'deleted': []}"
8,5a2b2f5ca7c7e5401f739b3d64a9e2ded90cbc5d,tunnel-server/src/main/resources/application.properties,application.properties,5,"{'added': [(13, 'arthas.enable-detail-pages=true')], 'deleted': [(13, 'arthas.enable-detatil-pages=true')]}"
