,commit_hash,file_path,filename,action,changes
0,2db351f8ed54a83da7f849b0c0c8624b0ab88807,kotlin/codegen/src/main/resources/META-INF/gradle/incremental.annotation.processors,incremental.annotation.processors,1,"{'added': [(1, 'com.squareup.moshi.kotlin.codegen.apt.JsonClassCodegenProcessor,ISOLATING')], 'deleted': []}"
1,a5dbc1d642d7952f69bea869d44ec07b070e6ff0,kotlin/reflect/src/main/resources/META-INF/proguard/moshi-kotlin.pro,moshi-kotlin.pro,4,"{'added': [], 'deleted': [(1, '-keep class kotlin.reflect.jvm.internal.impl.builtins.BuiltInsLoaderImpl'), (2, ''), (3, '-keepclassmembers class kotlin.Metadata {'), (4, '    public <methods>;'), (5, '}')]}"
2,8c8c5977a78e5687aa7ddbd1aa1f089c185f9072,moshi/src/main/resources/META-INF/proguard/moshi.pro,moshi.pro,5,"{'added': [(17, ''), (18, '# Keep helper method to avoid R8 optimisation that would keep all Kotlin Metadata when unwanted'), (19, '-keepclassmembers class com.squareup.moshi.internal.Util {'), (20, '    private static java.lang.String getKotlinMetadataClassName();'), (21, '}')], 'deleted': []}"
