,commit_hash,file_path,filename,action,changes
0,cc8e481d30c27a3f92215fbfd45d969149a71b3c,modules/application/src/main/resources/gephi.conf,gephi.conf,5,"{'added': [(1, 'default_userdir=""${DEFAULT_USERDIR_ROOT}/${project.version}""'), (2, 'default_cachedir=""${DEFAULT_CACHEDIR_ROOT}/${project.version}""'), (6, 'default_options=""--branding ${branding.token} -J-Xms64m -J-Xmx512m -J-Dsun.java2d.metal=true -J-Dsun.java2d.noddraw=true -J-Dsun.awt.noerasebackground=true -J-Dnetbeans.indexing.noFileRefresh=true -J-Dplugin.manager.check.interval=EVERY_DAY""'), (13, '#extra_clusters=')], 'deleted': [(1, '# \\${HOME} will be replaced by user home directory according to platform'), (2, 'default_userdir=""\\${HOME}/.\\${APPNAME}/${project.version}/dev""'), (3, 'default_mac_userdir=""\\${HOME}/Library/Application Support/\\${APPNAME}/${project.version}/dev""'), (7, 'default_options=""--branding ${branding.token} -J-Xms64m -J-Xmx512m -J-Xverify:none -J-Dsun.java2d.noddraw=true -J-Dsun.awt.noerasebackground=true -J-Dnetbeans.indexing.noFileRefresh=true -J-Dplugin.manager.check.interval=EVERY_DAY""'), (14, '#extra_clusters=')]}"
1,a2d02d581113503c54745e7c0f41d6b4cc70b878,modules/branding/src/main/resources/org/gephi/branding/Bundle.properties,Bundle.properties,5,"{'added': [], 'deleted': [(1, 'org_gephi_branding_update_center=${gephi.update.center.official.url}'), (2, 'org_gephi_branding_update_center_1=${gephi.update.center.thirdparty.url}'), (3, '')]}"
2,a2d02d581113503c54745e7c0f41d6b4cc70b878,modules/branding/src/main/resources/org/gephi/branding/layer.xml,layer.xml,5,"{'added': [(8, '                <attr name=""enabled"" boolvalue=""${enableAutoUpdate}""/>'), (11, '                <attr name=""url"" stringvalue=""${gephi.update.center.official.url}""/>'), (15, '                <attr name=""enabled"" boolvalue=""${enableAutoUpdate}""/>'), (18, '                <attr name=""url"" stringvalue=""${gephi.update.center.thirdparty.url}""/>'), (22, '</filesystem>')], 'deleted': [(7, '                <attr name=""SystemFileSystem.localizingBundle"" stringvalue=""org.gephi.branding.Bundle""/>'), (9, '                <attr name=""enabled"" boolvalue=""true""/>'), (12, '                <attr name=""url_key"" stringvalue=""org_gephi_branding_update_center""/>'), (15, '                <attr name=""SystemFileSystem.localizingBundle"" stringvalue=""org.gephi.branding.Bundle""/>'), (17, '                <attr name=""enabled"" boolvalue=""true""/>'), (20, '                <attr name=""url_key"" stringvalue=""org_gephi_branding_update_center_1""/>'), (24, '</filesystem>')]}"
3,6ac653758063f74c56a7b93db800978ead3ea95d,modules/application/src/main/resources/Entitlements.plist,Entitlements.plist,1,"{'added': [(1, '<?xml version=""1.0"" encoding=""UTF-8""?>'), (2, '<!DOCTYPE plist PUBLIC ""-//Apple//DTD PLIST 1.0//EN"" ""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">'), (3, '<plist version=""1.0"">'), (4, '    <dict>'), (5, '        <key>com.apple.security.cs.allow-jit</key>'), (6, '        <true/>'), (7, '        <key>com.apple.security.cs.allow-unsigned-executable-memory</key>'), (8, '        <true/>'), (9, '        <key>com.apple.security.cs.disable-library-validation</key>'), (10, '        <true/>'), (11, '        <key>com.apple.security.cs.disable-executable-page-protection</key>'), (12, '        <true/>'), (13, '        <key>com.apple.security.cs.allow-dyld-environment-variables</key>'), (14, '        <true/>'), (15, '        <key>com.apple.security.cs.debugger</key>'), (16, '        <true/>'), (17, '    </dict>'), (18, '</plist>')], 'deleted': []}"
4,6634da340b62dd650f75d8075fd7e1a508e902f9,modules/ImportPlugin/src/test/resources/org/gephi/io/importer/plugin/file/spreadsheet/test_utf8_chars_with_bom.csv,test_utf8_chars_with_bom.csv,1,"{'added': [(1, '\ufeffid,label,timeset,utf8'), (2, '1,uno,""[1,5]; [10, 10.5]; [11, 16];"",漢語'), (3, '2,dos,,blabla'), (4, '2,dos,,bla'), (5, ',,')], 'deleted': []}"
5,56f48cda2b318b7fc17763b20e15958a5e08522d,modules/ImportPlugin/src/test/resources/org/gephi/io/importer/plugin/file/spreadsheet/expected/testUTF8CharsWithBOM_nodes.csv,testUTF8CharsWithBOM_nodes.csv,1,"{'added': [(1, 'Id,Label,timeset,utf8'), (2, '1,uno,""<[1.0, 5.0]; [10.0, 10.5]; [11.0, 16.0]>"",漢語'), (3, '2,dos,,blabla')], 'deleted': []}"
6,1e0f99d9197c35f5af6912491ebb08fb3341b17d,modules/ImportPlugin/src/test/resources/org/gephi/io/importer/plugin/file/spreadsheet/edges_table_dynamic_weights.csv,edges_table_dynamic_weights.csv,3,"{'added': [], 'deleted': []}"
