,commit_hash,file_path,filename,reason,change,line
0,2aefd5494664a1b847d911e2919f8cfbd4260c12,core/src/com/google/inject/spi/ElementSource.java,ElementSource.java,bind\(.*\),   *   <li>{@code Binder.bind()},153
1,9d12b481ddd60f8a9cb1be5413a26b76bd9807cf,extensions/dagger-adapter/test/com/google/inject/daggeradapter/ModuleIncludesTest.java,ModuleIncludesTest.java,@Provides,    @Provides,145
2,c6fd1423ce4caa346f915ae7ae46df3d4b01c684,core/test/com/google/inject/MethodInterceptionTest.java,MethodInterceptionTest.java,bind\(.*\),                bind(RawReturn.class).to(MixedReturn.class);,634
3,c6fd1423ce4caa346f915ae7ae46df3d4b01c684,core/test/com/google/inject/MethodInterceptionTest.java,MethodInterceptionTest.java,bind\(.*\),                bind(ShardedStringProvider.class).to(ShardedStringProviderImpl.class);,673
4,a260458b28b2dad9e2c8cfca2a2783e585784ab6,core/src/com/google/inject/internal/RealMapBinder.java,RealMapBinder.java,bind\(.*\),    binder.bind(bindingSelection.getMapKey()).toProvider(mapProvider);,313
5,a260458b28b2dad9e2c8cfca2a2783e585784ab6,core/src/com/google/inject/internal/RealMapBinder.java,RealMapBinder.java,bind\(.*\),    binder.bind(bindingSelection.getMapOfKeyExtendsValueKey()).to(bindingSelection.getMapKey());,323
6,a260458b28b2dad9e2c8cfca2a2783e585784ab6,core/src/com/google/inject/internal/RealMapBinder.java,RealMapBinder.java,bind\(.*\),        .bind(bindingSelection.getMapKey()),315
7,a260458b28b2dad9e2c8cfca2a2783e585784ab6,core/src/com/google/inject/internal/RealMapBinder.java,RealMapBinder.java,bind\(.*\),    binder.bind(bindingSelection.getMapOfKeyExtendsValueKey()).toProvider(mapProvider);,318
8,e6ec2a4a9433d64e763093a826eecf49f005aa5d,core/src/com/google/inject/internal/RealMultibinder.java,RealMultibinder.java,bind\(.*\),    binder.bind(bindingSelection.getSetOfExtendsKey()).to(bindingSelection.getSetKey());,110
9,e6ec2a4a9433d64e763093a826eecf49f005aa5d,core/src/com/google/inject/internal/RealMultibinder.java,RealMultibinder.java,bind\(.*\),    binder.bind(bindingSelection.getSetOfExtendsKey()).toProvider(setProvider);,112
10,9dc98cb7c710be0f4552e7d40d1cb29553b330cf,core/test/com/google/inject/spi/ModuleAnnotatedMethodScannerTest.java,ModuleAnnotatedMethodScannerTest.java,@Provides,          @Provides,228
11,bfc2e48f4a008462ff74e0e73bc7e1cabc04e30d,core/test/com/google/inject/spi/SourcesTest.java,SourcesTest.java,bind\(.*\),"                        binder().skipSources(getClass()).bind(String.class).toInstance(""Foo"");",24
